BOW_Score,% of spelling errors,Vocab,No. of words,Human_rated_score
17,2.4691358024691357,5,567.0,6
8,2.7522935779816518,3,327.0,4
11,1.282051282051282,5,312.0,4
14,6.269592476489027,3,319.0,4
14,0.7104795737122558,4,563.0,6
14,2.768166089965398,2,578.0,5
13,5.371900826446281,3,242.0,3
15,1.3921113689095126,4,431.0,4
10,4.245283018867925,8,424.0,5
13,2.904564315352697,2,241.0,4
10,1.9801980198019802,5,202.0,4
18,2.9082774049217,7,447.0,4
5,2.857142857142857,2,70.0,2
7,1.3071895424836601,3,306.0,4
12,5.208333333333334,1,288.0,4
13,2.564102564102564,5,429.0,5
12,3.2171581769436997,8,373.0,5
15,3.389830508474576,5,295.0,4
10,2.977667493796526,6,403.0,5
15,1.6326530612244898,2,245.0,3
