BOW_Score,% of spelling errors,Vocab,No. of words,Content Similarity (in %),Human_rated_score
14,3.1884057971014492,7,345.0,45,4
13,3.3175355450236967,4,422.0,47,5
11,0.35842293906810035,5,279.0,58,4
18,5.325443786982249,12,507.0,47,5
15,2.9598308668076108,1,473.0,47,4
7,4.564315352697095,1,241.0,34,4
18,0.19880715705765406,8,503.0,51,5
12,0.19685039370078738,2,508.0,50,5
13,1.3392857142857142,3,448.0,44,4
13,2.2598870056497176,3,354.0,46,5
15,0.906344410876133,5,331.0,42,4
6,8.706467661691542,3,402.0,52,4
7,11.707317073170733,4,205.0,43,4
9,11.363636363636363,5,308.0,41,3
9,11.363636363636363,5,308.0,41,3
16,3.925233644859813,7,535.0,54,6
12,2.8735632183908044,3,348.0,52,4
10,0.8042895442359249,5,373.0,53,4
0,52.23880597014925,0,67.0,4,2
10,2.484472049689441,2,161.0,51,3
13,3.7940379403794036,3,369.0,51,4
5,1.7543859649122806,0,57.0,39,2
20,1.3232514177693762,6,529.0,50,5
16,1.9400352733686066,5,567.0,55,6
15,1.0135135135135136,4,296.0,50,4
13,2.2857142857142856,3,350.0,46,5
5,6.956521739130435,0,115.0,32,2
16,3.021978021978022,3,364.0,41,5
11,3.494623655913978,7,372.0,41,5
7,0.0,1,265.0,46,4
18,1.7167381974248928,10,466.0,38,4
15,1.0330578512396695,7,484.0,56,5
10,1.8181818181818181,2,165.0,39,3
19,2.4456521739130435,3,368.0,38,4
11,0.47732696897374705,4,419.0,51,4
15,0.5660377358490566,9,530.0,39,5
18,4.30327868852459,6,488.0,44,6
16,2.26628895184136,5,353.0,44,4
13,3.167420814479638,3,442.0,45,5
17,3.125,1,192.0,50,4
5,0.0,0,42.0,56,1
5,0.0,0,42.0,56,1
9,4.195804195804196,3,286.0,53,4
8,1.3888888888888888,1,144.0,46,3
9,0.9523809523809524,4,315.0,51,4
14,2.1406727828746175,3,327.0,41,4
7,1.282051282051282,5,312.0,36,4
17,5.956112852664576,3,319.0,47,4
13,0.5328596802841918,4,563.0,47,6
15,0.6269592476489028,3,319.0,57,3
4,7.142857142857142,2,84.0,40,2
14,2.249134948096886,2,578.0,31,5
8,4.958677685950414,3,242.0,46,3
14,1.160092807424594,4,431.0,57,4
23,3.30188679245283,8,424.0,44,5
14,2.0746887966804977,2,241.0,38,4
27,1.694915254237288,14,472.0,46,5
13,3.4013605442176873,4,294.0,45,5
6,1.9801980198019802,5,202.0,54,4
15,2.237136465324385,7,447.0,48,4
8,2.857142857142857,2,70.0,51,2
9,1.3071895424836601,3,306.0,52,4
7,4.513888888888888,1,288.0,48,4
11,1.0273972602739725,1,292.0,42,4
8,1.7937219730941705,1,223.0,41,4
15,2.331002331002331,5,429.0,48,5
17,2.1447721179624666,8,373.0,40,5
18,2.711864406779661,5,295.0,45,4
17,2.729528535980149,6,403.0,49,5
6,0.40816326530612246,2,245.0,44,3
19,1.1737089201877933,4,426.0,40,6
11,2.4663677130044843,2,446.0,55,5
18,2.631578947368421,6,532.0,51,5
6,2.030456852791878,4,394.0,45,4
7,0.9803921568627451,4,306.0,45,4
17,1.7191977077363898,2,349.0,29,4
15,1.9230769230769231,0,312.0,47,4
19,2.2346368715083798,5,537.0,56,5
8,1.8823529411764703,2,425.0,42,5
13,0.26109660574412535,5,383.0,58,5
11,6.326034063260341,2,411.0,43,4
19,3.234501347708895,7,371.0,28,4
14,4.56140350877193,4,285.0,49,4
8,5.213270142180095,6,211.0,36,3
5,2.941176470588235,0,204.0,37,3
14,2.5044722719141324,7,559.0,54,5
21,3.32541567695962,4,421.0,52,4
21,1.627906976744186,2,430.0,37,5
15,2.4663677130044843,5,446.0,48,4
7,3.862660944206009,2,233.0,48,3
10,1.2875536480686696,2,233.0,55,3
17,3.8461538461538463,2,234.0,32,4
32,1.6423357664233578,4,548.0,46,5
12,0.0,3,322.0,53,4
12,2.345415778251599,7,469.0,40,5
10,3.896103896103896,4,231.0,47,3
17,4.333333333333334,3,300.0,51,4
16,3.8554216867469884,10,415.0,30,5
5,2.5316455696202533,1,237.0,37,3
14,1.6913319238900635,4,473.0,47,5
14,0.6006006006006006,2,333.0,55,4
9,0.7352941176470588,5,408.0,36,5
14,1.9277108433734942,3,415.0,45,5
11,1.098901098901099,3,546.0,44,4
19,1.09375,6,640.0,50,5
13,2.6595744680851063,5,376.0,44,4
12,0.0,4,352.0,49,4
12,0.0,3,243.0,34,3
8,2.333931777378815,6,557.0,57,6
15,2.4154589371980677,4,414.0,51,5
20,2.4271844660194173,4,412.0,52,4
12,2.2641509433962264,5,530.0,32,5
7,0.6116207951070336,2,327.0,47,4
16,0.45454545454545453,6,440.0,42,6
14,2.788844621513944,9,502.0,45,5
11,2.3376623376623376,6,385.0,45,4
9,8.94308943089431,3,369.0,19,4
14,1.1090573012939002,4,541.0,50,5
7,2.909090909090909,4,275.0,40,4
7,2.2598870056497176,2,177.0,43,3
7,4.25531914893617,5,282.0,50,4
9,0.0,10,409.0,48,4
11,0.9779951100244498,11,409.0,48,5
12,1.8779342723004695,2,426.0,52,5
19,1.3582342954159592,5,589.0,51,5
15,0.702576112412178,7,427.0,54,5
17,2.771362586605081,6,433.0,47,6
13,2.1032504780114722,8,523.0,41,5
13,2.0,2,250.0,35,3
13,3.431372549019608,6,408.0,55,4
6,0.5405405405405406,2,185.0,53,3
10,4.098360655737705,1,366.0,28,4
17,2.237136465324385,6,447.0,47,4
29,5.46448087431694,9,366.0,45,5
5,10.75268817204301,0,186.0,32,3
18,1.3289036544850499,10,602.0,42,6
15,3.6290322580645165,2,248.0,53,4
6,0.0,3,173.0,37,3
12,0.5952380952380952,3,504.0,50,5
27,1.160092807424594,6,431.0,37,6
14,1.8140589569160999,7,441.0,55,5
13,1.1594202898550725,5,345.0,48,4
18,3.7362637362637363,7,455.0,47,5
11,5.8988764044943816,4,356.0,53,5
9,1.9067796610169492,1,472.0,52,5
7,1.048951048951049,3,286.0,47,4
13,0.9389671361502347,3,426.0,47,5
23,2.941176470588235,4,544.0,61,6
7,10.256410256410255,3,234.0,56,4
16,0.4,2,250.0,54,4
17,7.631578947368421,5,380.0,44,4
12,1.2773722627737227,6,548.0,47,4
12,2.0527859237536656,5,341.0,45,4
21,4.008908685968819,6,449.0,50,5
8,3.289473684210526,4,152.0,41,3
9,1.4749262536873156,5,339.0,53,4
11,1.9305019305019304,3,259.0,42,4
8,4.669260700389105,2,257.0,42,4
6,14.000000000000002,3,350.0,23,4
14,2.284263959390863,7,394.0,52,5
14,2.4242424242424243,3,330.0,49,4
8,6.642066420664207,6,271.0,34,4
16,0.3546099290780142,4,282.0,50,4
13,0.8988764044943821,5,445.0,38,5
25,1.5521064301552108,6,451.0,58,5
14,0.5037783375314862,6,397.0,53,4
7,3.3419023136246784,4,389.0,36,4
17,1.7094017094017095,4,468.0,57,4
9,1.1869436201780417,5,337.0,44,4
10,2.6548672566371683,0,113.0,39,3
16,0.9638554216867471,6,415.0,53,5
7,3.10077519379845,0,129.0,25,3
9,1.8404907975460123,1,326.0,48,5
9,1.1952191235059761,2,251.0,49,4
17,6.134969325153374,5,489.0,48,6
12,0.7444168734491315,8,403.0,51,4
19,1.1342155009451798,2,529.0,45,5
6,4.761904761904762,4,126.0,32,2
11,3.3766233766233764,4,385.0,48,4
15,0.5660377358490566,7,530.0,38,5
14,1.643192488262911,7,426.0,39,5
7,2.666666666666667,7,750.0,53,5
14,1.9073569482288828,1,367.0,48,4
21,1.4925373134328357,8,402.0,49,4
20,2.3872679045092835,3,377.0,42,4
10,1.3725490196078431,2,510.0,34,5
15,1.3227513227513228,6,378.0,54,5
17,3.633217993079585,5,578.0,42,5
20,0.544959128065395,4,367.0,36,5
11,0.6920415224913495,3,289.0,53,4
11,0.6024096385542169,1,166.0,50,3
21,1.2886597938144329,5,388.0,51,4
9,3.125,2,192.0,45,3
10,0.3676470588235294,2,272.0,35,3
8,2.4691358024691357,1,324.0,39,4
6,7.07395498392283,1,311.0,50,4
15,2.2058823529411766,2,408.0,45,4
19,0.5607476635514018,6,535.0,42,5
11,1.7595307917888565,3,341.0,39,4
15,1.507537688442211,7,398.0,42,4
13,0.4807692307692308,3,208.0,41,3
15,0.4524886877828055,4,442.0,39,5
9,2.0737327188940093,8,434.0,57,4
13,2.2018348623853212,3,545.0,50,6
5,0.8032128514056224,3,249.0,51,4
14,2.1621621621621623,4,370.0,51,5
7,3.0716723549488054,3,293.0,37,4
9,3.508771929824561,1,285.0,41,4
14,1.0893246187363834,7,459.0,55,5
14,1.2962962962962963,4,540.0,53,6
10,26.903553299492383,1,197.0,38,4
14,0.0,6,411.0,57,4
10,11.330049261083744,1,203.0,32,3
10,1.8633540372670807,3,322.0,53,4
12,2.1148036253776437,2,331.0,53,4
5,1.7777777777777777,1,450.0,52,5
13,4.032258064516129,1,248.0,34,4
17,0.9195402298850575,7,435.0,35,4
13,0.9463722397476341,4,634.0,56,5
7,3.6827195467422094,2,353.0,40,4
8,4.733727810650888,2,169.0,40,4
26,1.0670731707317074,7,656.0,49,5
17,1.2295081967213115,3,488.0,47,4
5,2.6470588235294117,4,340.0,45,5
11,1.282051282051282,3,312.0,45,5
24,0.8802816901408451,11,568.0,41,5
14,0.9615384615384616,3,416.0,57,5
4,4.661016949152542,3,236.0,47,3
20,1.8181818181818181,6,330.0,39,4
11,0.3448275862068966,1,290.0,36,4
8,1.1547344110854503,6,433.0,45,4
19,0.7547169811320755,9,530.0,64,6
8,2.3094688221709005,5,433.0,49,4
6,2.547770700636943,3,314.0,54,4
17,0.7281553398058253,5,412.0,33,5
14,1.7369727047146404,3,403.0,52,5
10,1.5228426395939088,2,394.0,42,4
19,2.769230769230769,9,325.0,44,4
10,3.007518796992481,5,266.0,37,4
