BOW_Score,% of spelling errors,Vocab,No. of words,Content Similarity (in %),Human_rated_score
15,2.608695652173913,7,345.0,45,4
13,2.843601895734597,4,422.0,47,5
11,0.35842293906810035,5,279.0,58,4
18,4.536489151873767,12,507.0,47,5
15,2.536997885835095,1,473.0,47,4
7,4.564315352697095,1,241.0,34,4
18,0.19880715705765406,8,503.0,51,5
13,0.19685039370078738,2,508.0,50,5
14,1.1160714285714286,3,448.0,44,4
13,1.977401129943503,3,354.0,46,5
15,0.906344410876133,5,331.0,42,4
6,8.706467661691542,3,402.0,52,4
7,11.707317073170733,4,205.0,43,4
9,11.363636363636363,5,308.0,41,3
9,11.363636363636363,5,308.0,41,3
17,3.7383177570093453,7,535.0,54,6
12,2.8735632183908044,3,348.0,52,4
10,0.8042895442359249,5,373.0,53,4
0,52.23880597014925,0,67.0,4,2
10,2.484472049689441,2,161.0,51,3
13,2.710027100271003,3,369.0,51,4
5,1.7543859649122806,0,57.0,39,2
20,1.3232514177693762,6,529.0,50,5
16,1.2345679012345678,5,567.0,55,6
15,1.0135135135135136,4,296.0,50,4
13,2.0,3,350.0,46,5
5,6.956521739130435,0,115.0,32,2
16,2.7472527472527473,3,364.0,41,5
11,3.494623655913978,7,372.0,41,5
7,0.0,1,265.0,46,4
18,1.7167381974248928,10,466.0,38,4
15,0.8264462809917356,7,484.0,56,5
10,1.8181818181818181,2,165.0,39,3
19,2.4456521739130435,3,368.0,38,4
12,0.23866348448687352,4,419.0,51,4
15,0.5660377358490566,9,530.0,39,5
18,3.8934426229508197,6,488.0,44,6
16,1.69971671388102,5,353.0,44,4
13,3.167420814479638,3,442.0,45,5
17,3.125,1,192.0,50,4
5,0.0,0,42.0,56,1
5,0.0,0,42.0,56,1
9,4.195804195804196,3,286.0,53,4
8,1.3888888888888888,1,144.0,46,3
9,0.9523809523809524,4,315.0,51,4
15,1.834862385321101,3,327.0,41,4
7,1.282051282051282,5,312.0,36,4
17,4.38871473354232,3,319.0,47,4
13,0.5328596802841918,4,563.0,47,6
16,0.6269592476489028,3,319.0,57,3
4,7.142857142857142,2,84.0,40,2
15,2.249134948096886,2,578.0,31,5
8,4.958677685950414,3,242.0,46,3
14,1.160092807424594,4,431.0,57,4
23,3.30188679245283,8,424.0,44,5
